3.854, 4.794, 1000, 25
6.566, 4.790, 1000, 25
8.117, 4.785, 1000, 25
10.798, 4.792, 1000, 25
12.382, 4.773, 1000, 25
15.115, 4.793, 1000, 25
16.696, 4.769, 1000, 25
19.545, 4.788, 1000, 25
21.050, 4.760, 1000, 25
23.740, 4.780, 1000, 25
25.460, 4.771, 1000, 25
27.920, 4.777, 1000, 25
29.685, 4.762, 1000, 25
31.505, 4.773, 1000, 25
33.282, 4.719, 1000, 25
35.008, 4.644, 1000, 25
36.425, 4.512, 1000, 25
37.418, 4.382, 1000, 25
38.146, 4.180, 1000, 25
38.835, 4.053, 1000, 25
39.176, 3.905, 1000, 25
39.432, 3.777, 1000, 25
39.958, 3.610, 1000, 25
40.331, 3.505, 1000, 25
40.277, 3.309, 1000, 25
40.717, 3.178, 1000, 25
40.998, 2.986, 1000, 25
41.223, 2.712, 1000, 25
41.561, 2.581, 1000, 25
41.712, 2.222, 1000, 25
41.494, 2.398, 1000, 25
41.981, 2.061, 1000, 25
42.411, 1.677, 1000, 25
42.354, 1.502, 1000, 25
42.465, 1.393, 1000, 25
42.802, 1.120, 1000, 25
42.778, 0.907, 1000, 25
42.935, 0.724, 1000, 25
43.108, 0.542, 1000, 25
43.194, 0.369, 1000, 25
43.375, 0.230, 1000, 25
